profile_id,role_category,skills,skill_count,experience_years,source,raw_skills,normalized_skills,normalized_experience
SYN_0424,Frontend Developer,"['CSS', 'Communication', 'Responsive Design', 'Angular', 'Teamwork', 'REST APIs', 'Webpack', 'React', 'Creativity', 'Vue.js', 'Testing', 'Git', 'Tailwind CSS']",12,0-2,Synthetic,"['CSS', 'Communication', 'Responsive Design', 'Angular', 'Teamwork', 'REST APIs', 'Webpack', 'React', 'Creativity', 'Vue.js', 'Testing', 'Git', 'Tailwind CSS']","['HTML/CSS', 'Communication', 'Responsive Design', 'Angular', 'Teamwork', 'Rest Apis', 'Webpack', 'React', 'Creativity', 'Vue.js', 'Testing', 'Git']",Entry Level (0-2 years)
SYN_0425,Backend Developer,"['Microservices', 'Django', 'Linux', 'Leadership', 'Python', 'API Security', 'REST APIs', 'Authentication', 'Spring Boot', 'Creativity', 'Adaptability', 'Node.js', 'Docker']",13,0-2,Synthetic,"['Microservices', 'Django', 'Linux', 'Leadership', 'Python', 'API Security', 'REST APIs', 'Authentication', 'Spring Boot', 'Creativity', 'Adaptability', 'Node.js', 'Docker']","['Microservices', 'Django', 'Linux', 'Leadership', 'Python', 'Api Security', 'Rest Apis', 'Authentication', 'Java', 'Creativity', 'Adaptability', 'Node.js', 'Docker']",Entry Level (0-2 years)
SYN_0426,Software Developer,"['Debugging', 'Communication', 'Algorithms', 'JavaScript', 'Documentation', 'Testing', 'Object-Oriented Programming', 'Teamwork']",8,3-5,Synthetic,"['Debugging', 'Communication', 'Algorithms', 'JavaScript', 'Documentation', 'Testing', 'Object-Oriented Programming', 'Teamwork']","['Debugging', 'Communication', 'Algorithms', 'JavaScript', 'Documentation', 'Testing', 'Object-Oriented Programming', 'Teamwork']",Mid Level (3-5 years)
SYN_0427,Backend Developer,"['Microservices', 'Django', 'Linux', 'Communication', 'API Security', 'SQL', 'Redis', 'REST APIs', 'Spring Boot', 'Node.js', 'Teamwork', 'Docker']",12,5-8,Synthetic,"['Microservices', 'Django', 'Linux', 'Communication', 'API Security', 'SQL', 'Redis', 'REST APIs', 'Spring Boot', 'Node.js', 'Teamwork', 'Docker']","['Microservices', 'Django', 'Linux', 'Communication', 'Api Security', 'SQL', 'Redis', 'Rest Apis', 'Java', 'Node.js', 'Teamwork', 'Docker']",Senior Level (5-8 years)
SYN_0428,Database Administrator,"['Sharding', 'Replication', 'Database Design', 'Communication', 'High Availability', 'Performance Tuning', 'SQL', 'Critical Thinking', 'Backup Recovery', 'MySQL', 'Query Optimization', 'Database Security', 'Teamwork']",12,0-2,Synthetic,"['Sharding', 'Replication', 'Database Design', 'Communication', 'High Availability', 'Performance Tuning', 'SQL', 'Critical Thinking', 'Backup Recovery', 'MySQL', 'Query Optimization', 'Database Security', 'Teamwork']","['Sharding', 'Replication', 'Database Design', 'Communication', 'Machine Learning', 'Performance Tuning', 'SQL', 'Critical Thinking', 'Backup Recovery', 'Query Optimization', 'Database Security', 'Teamwork']",Entry Level (0-2 years)
SYN_0429,Data Analyst,"['Problem Solving', 'Communication', 'Python', 'Leadership', 'SQL', 'Statistics', 'ETL', 'Creativity', 'Power BI']",9,8+,Synthetic,"['Problem Solving', 'Communication', 'Python', 'Leadership', 'SQL', 'Statistics', 'ETL', 'Creativity', 'Power BI']","['Problem Solving', 'Communication', 'Python', 'Leadership', 'SQL', 'Statistics', 'Etl', 'Creativity', 'Power BI']",Lead Level (8+ years)
SYN_0430,Backend Developer,"['Django', 'Database Design', 'Java', 'Problem Solving', 'Critical Thinking', 'REST APIs', 'MongoDB', 'Adaptability', 'Node.js']",9,5-8,Synthetic,"['Django', 'Database Design', 'Java', 'Problem Solving', 'Critical Thinking', 'REST APIs', 'MongoDB', 'Adaptability', 'Node.js']","['Django', 'Database Design', 'Java', 'Problem Solving', 'Critical Thinking', 'Rest Apis', 'MongoDB', 'Adaptability', 'Node.js']",Senior Level (5-8 years)
SYN_0431,Software Developer,"['Debugging', 'Python', 'Algorithms', 'SQL', 'Documentation', 'REST APIs', 'Agile', 'Adaptability', 'Testing', 'Git', 'Object-Oriented Programming', 'Teamwork']",12,3-5,Synthetic,"['Debugging', 'Python', 'Algorithms', 'SQL', 'Documentation', 'REST APIs', 'Agile', 'Adaptability', 'Testing', 'Git', 'Object-Oriented Programming', 'Teamwork']","['Debugging', 'Python', 'Algorithms', 'SQL', 'Documentation', 'Rest Apis', 'Agile', 'Adaptability', 'Testing', 'Git', 'Object-Oriented Programming', 'Teamwork']",Mid Level (3-5 years)
SYN_0432,Software Developer,"['Debugging', 'Communication', 'Python', 'Algorithms', 'SQL', 'JavaScript', 'Version Control', 'Documentation', 'Creativity', 'Agile', 'Data Structures', 'Teamwork']",12,5-8,Synthetic,"['Debugging', 'Communication', 'Python', 'Algorithms', 'SQL', 'JavaScript', 'Version Control', 'Documentation', 'Creativity', 'Agile', 'Data Structures', 'Teamwork']","['Debugging', 'Communication', 'Python', 'Algorithms', 'SQL', 'JavaScript', 'Git', 'Documentation', 'Creativity', 'Agile', 'Data Structures', 'Teamwork']",Senior Level (5-8 years)
SYN_0433,DevOps Engineer,"['AWS', 'Bash', 'Scripting', 'Prometheus', 'Python', 'Jenkins', 'Monitoring', 'Creativity', 'Grafana', 'Git', 'Teamwork', 'Ansible']",12,3-5,Synthetic,"['AWS', 'Bash', 'Scripting', 'Prometheus', 'Python', 'Jenkins', 'Monitoring', 'Creativity', 'Grafana', 'Git', 'Teamwork', 'Ansible']","['AWS', 'Bash', 'Scripting', 'Prometheus', 'Python', 'Jenkins', 'Monitoring', 'Creativity', 'Grafana', 'Git', 'Teamwork', 'Ansible']",Mid Level (3-5 years)
SYN_0434,UI/UX Designer,"['Figma', 'Illustrator', 'Critical Thinking', 'Adobe XD', 'User Research', 'Creativity', 'Design Systems', 'Visual Design', 'Accessibility', 'Information Architecture', 'Teamwork']",11,3-5,Synthetic,"['Figma', 'Illustrator', 'Critical Thinking', 'Adobe XD', 'User Research', 'Creativity', 'Design Systems', 'Visual Design', 'Accessibility', 'Information Architecture', 'Teamwork']","['Figma', 'Illustrator', 'Critical Thinking', 'Adobe Xd', 'User Research', 'Creativity', 'Design Systems', 'Visual Design', 'Accessibility', 'Information Architecture', 'Teamwork']",Mid Level (3-5 years)
SYN_0435,UI/UX Designer,"['Figma', 'Photoshop', 'Prototyping', 'Communication', 'Adobe XD', 'Creativity', 'Usability Testing', 'Visual Design', 'Information Architecture']",9,3-5,Synthetic,"['Figma', 'Photoshop', 'Prototyping', 'Communication', 'Adobe XD', 'Creativity', 'Usability Testing', 'Visual Design', 'Information Architecture']","['Figma', 'Photoshop', 'Prototyping', 'Communication', 'Adobe Xd', 'Creativity', 'Usability Testing', 'Visual Design', 'Information Architecture']",Mid Level (3-5 years)
SYN_0436,Frontend Developer,"['UI/UX Principles', 'Leadership', 'JavaScript', 'Next.js', 'HTML', 'REST APIs', 'Creativity', 'Adaptability', 'Testing', 'Git']",9,3-5,Synthetic,"['UI/UX Principles', 'Leadership', 'JavaScript', 'Next.js', 'HTML', 'REST APIs', 'Creativity', 'Adaptability', 'Testing', 'Git']","['Ui/Ux Principles', 'Leadership', 'JavaScript', 'HTML/CSS', 'Rest Apis', 'Creativity', 'Adaptability', 'Testing', 'Git']",Mid Level (3-5 years)
SYN_0437,Data Scientist,"['A/B Testing', 'Pandas', 'NumPy', 'Scikit-learn', 'Communication', 'Python', 'PyTorch', 'Tableau', 'Deep Learning', 'Big Data', 'Machine Learning', 'Critical Thinking', 'Creativity']",13,0-2,Synthetic,"['A/B Testing', 'Pandas', 'NumPy', 'Scikit-learn', 'Communication', 'Python', 'PyTorch', 'Tableau', 'Deep Learning', 'Big Data', 'Machine Learning', 'Critical Thinking', 'Creativity']","['A/B Testing', 'Pandas', 'NumPy', 'Scikit-Learn', 'Communication', 'Python', 'PyTorch', 'Tableau', 'Deep Learning', 'Big Data', 'Machine Learning', 'Critical Thinking', 'Creativity']",Entry Level (0-2 years)
SYN_0438,Database Administrator,"['Sharding', 'Database Design', 'Leadership', 'High Availability', 'Performance Tuning', 'SQL', 'Critical Thinking', 'Query Optimization', 'Creativity', 'Database Security']",10,8+,Synthetic,"['Sharding', 'Database Design', 'Leadership', 'High Availability', 'Performance Tuning', 'SQL', 'Critical Thinking', 'Query Optimization', 'Creativity', 'Database Security']","['Sharding', 'Database Design', 'Leadership', 'Machine Learning', 'Performance Tuning', 'SQL', 'Critical Thinking', 'Query Optimization', 'Creativity', 'Database Security']",Lead Level (8+ years)
SYN_0439,Backend Developer,"['Django', 'Linux', 'Java', 'Communication', 'Python', 'API Security', 'Redis', 'Creativity', 'Node.js']",9,3-5,Synthetic,"['Django', 'Linux', 'Java', 'Communication', 'Python', 'API Security', 'Redis', 'Creativity', 'Node.js']","['Django', 'Linux', 'Java', 'Communication', 'Python', 'Api Security', 'Redis', 'Creativity', 'Node.js']",Mid Level (3-5 years)
SYN_0440,Frontend Developer,"['Problem Solving', 'Angular', 'Teamwork', 'Next.js', 'Webpack', 'REST APIs', 'React', 'Vue.js', 'Testing', 'Git', 'Tailwind CSS']",11,5-8,Synthetic,"['Problem Solving', 'Angular', 'Teamwork', 'Next.js', 'Webpack', 'REST APIs', 'React', 'Vue.js', 'Testing', 'Git', 'Tailwind CSS']","['Problem Solving', 'Angular', 'Teamwork', 'JavaScript', 'Webpack', 'Rest Apis', 'React', 'Vue.js', 'Testing', 'Git', 'HTML/CSS']",Senior Level (5-8 years)
SYN_0441,Cybersecurity Analyst,"['SIEM', 'Communication', 'Python', 'Time Management', 'Firewalls', 'NIST', 'Security Audits', 'Penetration Testing', 'Wireshark']",9,0-2,Synthetic,"['SIEM', 'Communication', 'Python', 'Time Management', 'Firewalls', 'NIST', 'Security Audits', 'Penetration Testing', 'Wireshark']","['Siem', 'Communication', 'Python', 'Time Management', 'Firewalls', 'Nist', 'TypeScript', 'Penetration Testing', 'Wireshark']",Entry Level (0-2 years)
SYN_0442,Product Manager,"['JIRA', 'Customer Discovery', 'Stakeholder Management', 'Communication', 'Problem Solving', 'Agile', 'Data Analysis', 'Market Research', 'Scrum', 'Adaptability', 'MVP', 'Product Strategy']",12,3-5,Synthetic,"['JIRA', 'Customer Discovery', 'Stakeholder Management', 'Communication', 'Problem Solving', 'Agile', 'Data Analysis', 'Market Research', 'Scrum', 'Adaptability', 'MVP', 'Product Strategy']","['Jira', 'Customer Discovery', 'Stakeholder Management', 'Communication', 'Problem Solving', 'Agile', 'Data Science', 'Market Research', 'Scrum', 'Adaptability', 'Mvp', 'Product Strategy']",Mid Level (3-5 years)
SYN_0443,DevOps Engineer,"['Bash', 'Jenkins', 'CI/CD', 'Python', 'Prometheus', 'Terraform', 'Adaptability', 'Grafana', 'Git', 'Teamwork', 'Docker']",11,3-5,Synthetic,"['Bash', 'Jenkins', 'CI/CD', 'Python', 'Prometheus', 'Terraform', 'Adaptability', 'Grafana', 'Git', 'Teamwork', 'Docker']","['Bash', 'Jenkins', 'Ci/Cd', 'Python', 'Prometheus', 'Terraform', 'Adaptability', 'Grafana', 'Git', 'Teamwork', 'Docker']",Mid Level (3-5 years)
SYN_0444,Data Analyst,"['Data Warehousing', 'Data Visualization', 'Problem Solving', 'Communication', 'Python', 'Excel', 'Leadership', 'ETL', 'Business Intelligence', 'Looker', 'Data Cleaning', 'Teamwork']",12,3-5,Synthetic,"['Data Warehousing', 'Data Visualization', 'Problem Solving', 'Communication', 'Python', 'Excel', 'Leadership', 'ETL', 'Business Intelligence', 'Looker', 'Data Cleaning', 'Teamwork']","['Data Warehousing', 'Data Visualization', 'Problem Solving', 'Communication', 'Python', 'Excel', 'Leadership', 'Etl', 'Business Intelligence', 'Looker', 'Data Cleaning', 'Teamwork']",Mid Level (3-5 years)
SYN_0445,Network Engineer,"['Switching', 'Routing', 'OSPF', 'Network Security', 'Cisco', 'Time Management', 'DHCP', 'Teamwork', 'Wireshark']",9,5-8,Synthetic,"['Switching', 'Routing', 'OSPF', 'Network Security', 'Cisco', 'Time Management', 'DHCP', 'Teamwork', 'Wireshark']","['Switching', 'Routing', 'Ospf', 'Network Security', 'Cisco', 'Time Management', 'Dhcp', 'Teamwork', 'Wireshark']",Senior Level (5-8 years)
SYN_0446,DevOps Engineer,"['Bash', 'Problem Solving', 'Python', 'Prometheus', 'Monitoring', 'Adaptability', 'Creativity', 'Kubernetes', 'Grafana', 'Git']",10,3-5,Synthetic,"['Bash', 'Problem Solving', 'Python', 'Prometheus', 'Monitoring', 'Adaptability', 'Creativity', 'Kubernetes', 'Grafana', 'Git']","['Bash', 'Problem Solving', 'Python', 'Prometheus', 'Monitoring', 'Adaptability', 'Creativity', 'Kubernetes', 'Grafana', 'Git']",Mid Level (3-5 years)
SYN_0447,UI/UX Designer,"['Photoshop', 'Prototyping', 'Leadership', 'Critical Thinking', 'Time Management', 'User Research', 'Design Systems', 'Visual Design', 'Accessibility', 'Interaction Design']",10,3-5,Synthetic,"['Photoshop', 'Prototyping', 'Leadership', 'Critical Thinking', 'Time Management', 'User Research', 'Design Systems', 'Visual Design', 'Accessibility', 'Interaction Design']","['Photoshop', 'Prototyping', 'Leadership', 'Critical Thinking', 'Time Management', 'User Research', 'Design Systems', 'Visual Design', 'Accessibility', 'Interaction Design']",Mid Level (3-5 years)
SYN_0448,Data Scientist,"['A/B Testing', 'Pandas', 'Data Visualization', 'Problem Solving', 'PyTorch', 'Statistics', 'Deep Learning', 'Adaptability', 'TensorFlow']",9,0-2,Synthetic,"['A/B Testing', 'Pandas', 'Data Visualization', 'Problem Solving', 'PyTorch', 'Statistics', 'Deep Learning', 'Adaptability', 'TensorFlow']","['A/B Testing', 'Pandas', 'Data Visualization', 'Problem Solving', 'PyTorch', 'Statistics', 'Deep Learning', 'Adaptability', 'TensorFlow']",Entry Level (0-2 years)
SYN_0449,Database Administrator,"['Sharding', 'Scripting', 'Replication', 'Database Design', 'Problem Solving', 'Leadership', 'High Availability', 'Monitoring', 'SQL', 'PostgreSQL', 'Creativity', 'MongoDB', 'Database Security']",13,3-5,Synthetic,"['Sharding', 'Scripting', 'Replication', 'Database Design', 'Problem Solving', 'Leadership', 'High Availability', 'Monitoring', 'SQL', 'PostgreSQL', 'Creativity', 'MongoDB', 'Database Security']","['Sharding', 'Scripting', 'Replication', 'Database Design', 'Problem Solving', 'Leadership', 'Machine Learning', 'Monitoring', 'SQL', 'PostgreSQL', 'Creativity', 'MongoDB', 'Database Security']",Mid Level (3-5 years)
SYN_0450,Backend Developer,"['Linux', 'Java', 'Communication', 'API Security', 'SQL', 'Authentication', 'Creativity', 'Node.js', 'Docker']",9,0-2,Synthetic,"['Linux', 'Java', 'Communication', 'API Security', 'SQL', 'Authentication', 'Creativity', 'Node.js', 'Docker']","['Linux', 'Java', 'Communication', 'Api Security', 'SQL', 'Authentication', 'Creativity', 'Node.js', 'Docker']",Entry Level (0-2 years)
SYN_0451,Backend Developer,"['Node.js', 'Communication', 'Time Management', 'REST APIs', 'Authentication', 'Creativity', 'MongoDB', 'Spring Boot', 'Docker']",9,0-2,Synthetic,"['Node.js', 'Communication', 'Time Management', 'REST APIs', 'Authentication', 'Creativity', 'MongoDB', 'Spring Boot', 'Docker']","['Node.js', 'Communication', 'Time Management', 'Rest Apis', 'Authentication', 'Creativity', 'MongoDB', 'Java', 'Docker']",Entry Level (0-2 years)
SYN_0452,DevOps Engineer,"['Bash', 'Scripting', 'Linux', 'Problem Solving', 'Communication', 'CI/CD', 'Python', 'Prometheus', 'Adaptability', 'Ansible', 'Grafana', 'Git', 'Docker']",13,5-8,Synthetic,"['Bash', 'Scripting', 'Linux', 'Problem Solving', 'Communication', 'CI/CD', 'Python', 'Prometheus', 'Adaptability', 'Ansible', 'Grafana', 'Git', 'Docker']","['Bash', 'Scripting', 'Linux', 'Problem Solving', 'Communication', 'Ci/Cd', 'Python', 'Prometheus', 'Adaptability', 'Ansible', 'Grafana', 'Git', 'Docker']",Senior Level (5-8 years)
SYN_0453,Database Administrator,"['Scripting', 'Linux', 'Database Design', 'Communication', 'Critical Thinking', 'Backup Recovery', 'Database Security', 'Query Optimization', 'PostgreSQL']",9,5-8,Synthetic,"['Scripting', 'Linux', 'Database Design', 'Communication', 'Critical Thinking', 'Backup Recovery', 'Database Security', 'Query Optimization', 'PostgreSQL']","['Scripting', 'Linux', 'Database Design', 'Communication', 'Critical Thinking', 'Backup Recovery', 'Database Security', 'Query Optimization', 'PostgreSQL']",Senior Level (5-8 years)
SYN_0454,Product Manager,"['Roadmapping', 'Customer Discovery', 'Leadership', 'Prioritization', 'Product Metrics', 'Data Analysis', 'User Research', 'Teamwork']",8,3-5,Synthetic,"['Roadmapping', 'Customer Discovery', 'Leadership', 'Prioritization', 'Product Metrics', 'Data Analysis', 'User Research', 'Teamwork']","['Roadmapping', 'Customer Discovery', 'Leadership', 'Prioritization', 'Product Metrics', 'Data Science', 'User Research', 'Teamwork']",Mid Level (3-5 years)
SYN_0455,Software Developer,"['Linux', 'Communication', 'Python', 'Algorithms', 'SQL', 'Version Control', 'REST APIs', 'Creativity', 'Testing', 'Git', 'Data Structures']",10,3-5,Synthetic,"['Linux', 'Communication', 'Python', 'Algorithms', 'SQL', 'Version Control', 'REST APIs', 'Creativity', 'Testing', 'Git', 'Data Structures']","['Linux', 'Communication', 'Python', 'Algorithms', 'SQL', 'Git', 'Rest Apis', 'Creativity', 'Testing', 'Data Structures']",Mid Level (3-5 years)
SYN_0456,Cloud Engineer,"['Networking', 'Serverless', 'Problem Solving', 'CI/CD', 'Python', 'Azure', 'Monitoring', 'Time Management', 'Terraform', 'Docker', 'Creativity', 'Infrastructure as Code', 'CloudFormation']",13,5-8,Synthetic,"['Networking', 'Serverless', 'Problem Solving', 'CI/CD', 'Python', 'Azure', 'Monitoring', 'Time Management', 'Terraform', 'Docker', 'Creativity', 'Infrastructure as Code', 'CloudFormation']","['C#', 'Serverless', 'Problem Solving', 'Ci/Cd', 'Python', 'Azure', 'Monitoring', 'Time Management', 'Terraform', 'Docker', 'Creativity', 'Infrastructure As Code', 'Cloudformation']",Senior Level (5-8 years)
SYN_0457,DevOps Engineer,"['AWS', 'Bash', 'Scripting', 'Communication', 'CI/CD', 'Python', 'Leadership', 'Monitoring', 'Critical Thinking', 'Terraform', 'Kubernetes', 'Git', 'Docker']",13,5-8,Synthetic,"['AWS', 'Bash', 'Scripting', 'Communication', 'CI/CD', 'Python', 'Leadership', 'Monitoring', 'Critical Thinking', 'Terraform', 'Kubernetes', 'Git', 'Docker']","['AWS', 'Bash', 'Scripting', 'Communication', 'Ci/Cd', 'Python', 'Leadership', 'Monitoring', 'Critical Thinking', 'Terraform', 'Kubernetes', 'Git', 'Docker']",Senior Level (5-8 years)
SYN_0458,Cloud Engineer,"['AWS', 'Serverless', 'Problem Solving', 'Python', 'Azure', 'Google Cloud', 'Time Management', 'Kubernetes', 'Infrastructure as Code']",9,8+,Synthetic,"['AWS', 'Serverless', 'Problem Solving', 'Python', 'Azure', 'Google Cloud', 'Time Management', 'Kubernetes', 'Infrastructure as Code']","['AWS', 'Serverless', 'Problem Solving', 'Python', 'Azure', 'Google Cloud', 'Time Management', 'Kubernetes', 'Infrastructure As Code']",Lead Level (8+ years)
SYN_0459,Network Engineer,"['Switching', 'Network Monitoring', 'Leadership', 'OSPF', 'TCP/IP', 'Critical Thinking', 'DHCP', 'Firewalls', 'BGP', 'VPN', 'Wireshark']",11,8+,Synthetic,"['Switching', 'Network Monitoring', 'Leadership', 'OSPF', 'TCP/IP', 'Critical Thinking', 'DHCP', 'Firewalls', 'BGP', 'VPN', 'Wireshark']","['Switching', 'Network Monitoring', 'Leadership', 'Ospf', 'Tcp/Ip', 'Critical Thinking', 'Dhcp', 'Firewalls', 'Bgp', 'Vpn', 'Wireshark']",Lead Level (8+ years)
SYN_0460,Cloud Engineer,"['AWS', 'Linux', 'Communication', 'Python', 'Leadership', 'Azure', 'Critical Thinking', 'Terraform', 'Infrastructure as Code']",9,0-2,Synthetic,"['AWS', 'Linux', 'Communication', 'Python', 'Leadership', 'Azure', 'Critical Thinking', 'Terraform', 'Infrastructure as Code']","['AWS', 'Linux', 'Communication', 'Python', 'Leadership', 'Azure', 'Critical Thinking', 'Terraform', 'Infrastructure As Code']",Entry Level (0-2 years)
SYN_0461,Frontend Developer,"['UI/UX Principles', 'CSS', 'Responsive Design', 'Teamwork', 'Next.js', 'REST APIs', 'TypeScript', 'Vue.js', 'Adaptability', 'Testing', 'Git', 'Tailwind CSS']",11,3-5,Synthetic,"['UI/UX Principles', 'CSS', 'Responsive Design', 'Teamwork', 'Next.js', 'REST APIs', 'TypeScript', 'Vue.js', 'Adaptability', 'Testing', 'Git', 'Tailwind CSS']","['Ui/Ux Principles', 'HTML/CSS', 'Responsive Design', 'Teamwork', 'JavaScript', 'Rest Apis', 'TypeScript', 'Vue.js', 'Adaptability', 'Testing', 'Git']",Mid Level (3-5 years)
SYN_0462,Data Scientist,"['A/B Testing', 'Data Visualization', 'NumPy', 'PyTorch', 'Python', 'SQL', 'Spark', 'Critical Thinking', 'Big Data', 'Machine Learning', 'Time Management', 'Creativity', 'TensorFlow']",13,3-5,Synthetic,"['A/B Testing', 'Data Visualization', 'NumPy', 'PyTorch', 'Python', 'SQL', 'Spark', 'Critical Thinking', 'Big Data', 'Machine Learning', 'Time Management', 'Creativity', 'TensorFlow']","['A/B Testing', 'Data Visualization', 'NumPy', 'PyTorch', 'Python', 'SQL', 'Spark', 'Critical Thinking', 'Big Data', 'Machine Learning', 'Time Management', 'Creativity', 'TensorFlow']",Mid Level (3-5 years)
SYN_0463,DevOps Engineer,"['Bash', 'Scripting', 'Problem Solving', 'Jenkins', 'CI/CD', 'Monitoring', 'Terraform', 'Creativity', 'Kubernetes', 'Grafana', 'Teamwork', 'Docker']",12,3-5,Synthetic,"['Bash', 'Scripting', 'Problem Solving', 'Jenkins', 'CI/CD', 'Monitoring', 'Terraform', 'Creativity', 'Kubernetes', 'Grafana', 'Teamwork', 'Docker']","['Bash', 'Scripting', 'Problem Solving', 'Jenkins', 'Ci/Cd', 'Monitoring', 'Terraform', 'Creativity', 'Kubernetes', 'Grafana', 'Teamwork', 'Docker']",Mid Level (3-5 years)
SYN_0464,Backend Developer,"['Microservices', 'Django', 'Linux', 'Java', 'Database Design', 'Problem Solving', 'Python', 'Leadership', 'API Security', 'REST APIs', 'Authentication', 'MongoDB']",12,0-2,Synthetic,"['Microservices', 'Django', 'Linux', 'Java', 'Database Design', 'Problem Solving', 'Python', 'Leadership', 'API Security', 'REST APIs', 'Authentication', 'MongoDB']","['Microservices', 'Django', 'Linux', 'Java', 'Database Design', 'Problem Solving', 'Python', 'Leadership', 'Api Security', 'Rest Apis', 'Authentication', 'MongoDB']",Entry Level (0-2 years)
SYN_0465,Data Analyst,"['Data Visualization', 'Problem Solving', 'Excel', 'SQL', 'ETL', 'Power BI', 'Data Cleaning', 'Teamwork']",8,0-2,Synthetic,"['Data Visualization', 'Problem Solving', 'Excel', 'SQL', 'ETL', 'Power BI', 'Data Cleaning', 'Teamwork']","['Data Visualization', 'Problem Solving', 'Excel', 'SQL', 'Etl', 'Power BI', 'Data Cleaning', 'Teamwork']",Entry Level (0-2 years)
SYN_0466,Cloud Engineer,"['AWS', 'Serverless', 'Linux', 'Communication', 'CI/CD', 'Leadership', 'Azure', 'Terraform', 'CloudFormation']",9,5-8,Synthetic,"['AWS', 'Serverless', 'Linux', 'Communication', 'CI/CD', 'Leadership', 'Azure', 'Terraform', 'CloudFormation']","['AWS', 'Serverless', 'Linux', 'Communication', 'Ci/Cd', 'Leadership', 'Azure', 'Terraform', 'Cloudformation']",Senior Level (5-8 years)
SYN_0467,Software Developer,"['Debugging', 'Java', 'Python', 'SQL', 'JavaScript', 'Critical Thinking', 'Documentation', 'REST APIs', 'Creativity', 'Agile', 'Git', 'Data Structures']",12,0-2,Synthetic,"['Debugging', 'Java', 'Python', 'SQL', 'JavaScript', 'Critical Thinking', 'Documentation', 'REST APIs', 'Creativity', 'Agile', 'Git', 'Data Structures']","['Debugging', 'Java', 'Python', 'SQL', 'JavaScript', 'Critical Thinking', 'Documentation', 'Rest Apis', 'Creativity', 'Agile', 'Git', 'Data Structures']",Entry Level (0-2 years)
SYN_0468,Backend Developer,"['Django', 'Linux', 'Database Design', 'SQL', 'Redis', 'API Security', 'Creativity', 'MongoDB', 'Adaptability', 'Node.js', 'Teamwork', 'Docker']",12,3-5,Synthetic,"['Django', 'Linux', 'Database Design', 'SQL', 'Redis', 'API Security', 'Creativity', 'MongoDB', 'Adaptability', 'Node.js', 'Teamwork', 'Docker']","['Django', 'Linux', 'Database Design', 'SQL', 'Redis', 'Api Security', 'Creativity', 'MongoDB', 'Adaptability', 'Node.js', 'Teamwork', 'Docker']",Mid Level (3-5 years)
SYN_0469,DevOps Engineer,"['AWS', 'Bash', 'Linux', 'Problem Solving', 'CI/CD', 'Python', 'Monitoring', 'Creativity', 'Kubernetes', 'Grafana']",10,5-8,Synthetic,"['AWS', 'Bash', 'Linux', 'Problem Solving', 'CI/CD', 'Python', 'Monitoring', 'Creativity', 'Kubernetes', 'Grafana']","['AWS', 'Bash', 'Linux', 'Problem Solving', 'Ci/Cd', 'Python', 'Monitoring', 'Creativity', 'Kubernetes', 'Grafana']",Senior Level (5-8 years)
SYN_0470,DevOps Engineer,"['Bash', 'Scripting', 'Linux', 'Problem Solving', 'Leadership', 'Jenkins', 'Python', 'Monitoring', 'Critical Thinking', 'Grafana', 'Git', 'Ansible']",12,5-8,Synthetic,"['Bash', 'Scripting', 'Linux', 'Problem Solving', 'Leadership', 'Jenkins', 'Python', 'Monitoring', 'Critical Thinking', 'Grafana', 'Git', 'Ansible']","['Bash', 'Scripting', 'Linux', 'Problem Solving', 'Leadership', 'Jenkins', 'Python', 'Monitoring', 'Critical Thinking', 'Grafana', 'Git', 'Ansible']",Senior Level (5-8 years)
SYN_0471,Data Scientist,"['Data Visualization', 'Scikit-learn', 'Leadership', 'PyTorch', 'Problem Solving', 'Spark', 'Tableau', 'Deep Learning', 'Statistics', 'Big Data', 'SQL', 'Machine Learning', 'Critical Thinking']",13,5-8,Synthetic,"['Data Visualization', 'Scikit-learn', 'Leadership', 'PyTorch', 'Problem Solving', 'Spark', 'Tableau', 'Deep Learning', 'Statistics', 'Big Data', 'SQL', 'Machine Learning', 'Critical Thinking']","['Data Visualization', 'Scikit-Learn', 'Leadership', 'PyTorch', 'Problem Solving', 'Spark', 'Tableau', 'Deep Learning', 'Statistics', 'Big Data', 'SQL', 'Machine Learning', 'Critical Thinking']",Senior Level (5-8 years)
SYN_0472,Network Engineer,"['Switching', 'Network Monitoring', 'OSPF', 'TCP/IP', 'Critical Thinking', 'Time Management', 'Load Balancing', 'DNS', 'VPN']",9,0-2,Synthetic,"['Switching', 'Network Monitoring', 'OSPF', 'TCP/IP', 'Critical Thinking', 'Time Management', 'Load Balancing', 'DNS', 'VPN']","['Switching', 'Network Monitoring', 'Ospf', 'Tcp/Ip', 'Critical Thinking', 'Time Management', 'Load Balancing', 'Dns', 'Vpn']",Entry Level (0-2 years)
SYN_0473,UI/UX Designer,"['Photoshop', 'Adaptability', 'User Research', 'Creativity', 'Usability Testing', 'Interaction Design', 'Accessibility', 'Information Architecture']",8,8+,Synthetic,"['Photoshop', 'Adaptability', 'User Research', 'Creativity', 'Usability Testing', 'Interaction Design', 'Accessibility', 'Information Architecture']","['Photoshop', 'Adaptability', 'User Research', 'Creativity', 'Usability Testing', 'Interaction Design', 'Accessibility', 'Information Architecture']",Lead Level (8+ years)
